text,label,clean_text
"Kalo kata anak rp jaman 2012 mah 'anjir jjkp. Jomblo jablay kebelet pacaran'""",0,kalo anak rp jaman mah anjir jjkp jomblo jablay kebelet pacaran
kesel tai army kepalanya gede2 bener URL,0,kesel tai army kepalanya gede bener
"USER Insyaallah..jika kita dpt boikot safiey illias,tempiasnye akan kena pada transgender s yg lain...'",0,insyaallah dpt boikot safiey illias tempiasnye kena transgender s yg
Tidak perlu ... Biarkan Jokowi melindungi Ahok ... Tahun 2019 kita lengserkan Jokowi ... Itu baru mantap,1,biarkan jokowi melindungi ahok lengserkan jokowi mantap
"USER Ayo, memek pengen diisi kontol juga.'",0,ayo memek pengen diisi kontol
USER USER USER USER Setuju. Memang PKS bukan PKI. Cara2 PKI ini persis seperti cara2 pks menggaet golongan akar rumput dengan isu2 agama. Maka dari itu PKS disebut sbg partai komunis syariah.',1,setuju pks pki pki persis pks menggaet golongan akar rumput isu agama pks sbg partai komunis syariah
USER Koar-koar nya gerakan umat..eh ngebacotnya dukungan politik..\nDasar Bani Cabul otak 212 SE MONAS \xf0\x9f\x98\x82',1,koar koar nya gerakan umat eh ngebacotnya dukungan politik ndasar bani cabul otak monas xf x f x x
USER AKU NAYEON BUKAN BOLOT\xf0\x9f\x98\xa0',0,nayeon bolot xf x f x xa
RT USER: Ironinya banyak bisnis dg mega triliunan profit namun dulu pendirinya sama sekali nggak punya mimpi kesana. \n\nContohny\xe2\x80\xa6',0,ironinya bisnis dg mega triliunan profit pendirinya nggak mimpi kesana n ncontohny xe x xa
jom mampus.',1,jom mampus
"USER USER Sejelek2nya Jokowi, jk di sandingkn dgn Prabowo, masih jauh, dr jejaknya saja rakyat sdh tau, mungkin jk bkn Prabowo masih bs di pertimbangkan utk tdk milih Jokowi. Hemm buta mata boleh mas, tp jk hati yg sdh di butakan oleh p",0,sejelek nya jokowi jk sandingkn dgn prabowo dr jejaknya rakyat sdh tau jk bkn prabowo bs pertimbangkan utk tdk milih jokowi hemm buta mata mas tp jk hati yg sdh butakan p
"20 tahun Reformasi, kenyataannya orang susah mempertemukan â??demokrasiâ?? dan â??kesejahteraanâ??. Kita lupa ide ini berhubungan dengan sistem lain, yaitu sistem ekonomi pasar bebas Tak heran selama 20 tahun ini kita masih mencari titik temu antara negara, pasar,",0,reformasi kenyataannya orang susah mempertemukan demokrasi kesejahteraan lupa ide berhubungan sistem sistem ekonomi pasar bebas heran mencari titik temu negara pasar
"USER Itu Yg mencaci ulama siapa mmg nya klo bkn org kafir dan munafik,,,,pake otak mu pekok'",1,yg mencaci ulama mmg nya klo bkn org kafir munafik pake otak mu pekok
USER USER neng ...itu bpk yg terhormat ga pke mulut klo ngomong.mohon maaf dia pke SILIT',1,neng bpk yg terhormat ga pke mulut klo ngomong mohon maaf pke silit
USER USER Ritual Puasa tiap tanggal 10 Muharram adalah tradisi Yahudi di madinah waktu itu...\n\nMenyembelih Kambing utk Bayi yg baru lahir adalah kebiasaan Arab utk mengekspresikan Kebahagiaan datangnya anggota keluarga baru...\n\nJ,0,ritual puasa tanggal muharram tradisi yahudi madinah n nmenyembelih kambing utk bayi yg lahir kebiasaan arab utk mengekspresikan kebahagiaan datangnya anggota keluarga n nj
"Gubernur Indonesia kita ini , Pa USER memang Woooow..! Salah satu Putra Terbaik Bangsa Indonesia Pribumi yg memang layak memimpin Negeri ini.; Semoga Allah SWT melindungi, meluruskan perjuangan demi tegakan Islam, memajukan bangsa &amp; Negara.",0,gubernur indonesia pa woooow salah putra terbaik bangsa indonesia pribumi yg layak memimpin negeri semoga allah swt melindungi meluruskan perjuangan tegakan islam memajukan bangsa amp negara
"Islam yg rahmatan lil alamin, Kristen yang cinta kasih, Hindu Budha Konghucu yang penuh kedamaian. Semua agama ajarkan kebaikan #PraKhotbah",0,islam yg rahmatan lil alamin kristen cinta kasih hindu budha konghucu penuh kedamaian agama ajarkan kebaikan prakhotbah
USER Gw sejak akil baliq 17 tahun Islam.\nDiperlakukan tidak adil. Gw bilang pernah. Bacot elo pernah bikin gak adil umat Islam.',1,gw akil baliq islam ndiperlakukan adil gw bilang bacot elo bikin gak adil umat islam
"Ajak rakyat wisata ziarah dalam negeri, jangan biarkan rakyat terus ditipu melakukan ziarah Umroh & Haji",1,ajak rakyat wisata ziarah negeri biarkan rakyat ditipu ziarah umroh haji
USER USER MULUT KAMPANG',1,mulut kampang
USER Biasa Prof.... rombongan cebong IQ dangkal asal nguap aja',1,prof rombongan cebong iq dangkal nguap aja
USER ak :( anak kampang ggggg',1,ak anak kampang ggggg
"Ngedance cewe gak bisa luwes, cowo gabisa nguci. Tai.'",0,ngedance cewe gak luwes cowo gabisa nguci tai
udah gapaham lagideh sama otak cebong\xf0\x9f\x98\xad',1,udah gapaham lagideh otak cebong xf x f x xad
USER USER USER USER USER USER USER USER USER USER USER USER USER USER bubar bangsad',1,bubar bangsad
"Agar dapat bekerja BERSIH, jajaran KemenAg harus tahu, Allah SWT menjanjikan rampasan, bukan Tuhan dan harus DIBUANG",1,bersih jajaran kemenag allah swt menjanjikan rampasan tuhan dibuang
"USER USER USER USER USER USER USER Kira2 yg pantas jadi Presiden 2019 siapa, ya?; ; Yg telanjang Dada, ga ah karena Pesimis.; ; #2019TetapJokowi; #2019LanjutJokowi",0,yg presiden ya yg telanjang dada ga ah pesimis tetapjokowi lanjutjokowi
#rlp yeoja tantik culik gw donk bawa ke rumah luh .gw nguntungin lo. tar bisa ngentot spuas nya truz bisa di sembelehin ndiri kok',0,rlp yeoja tantik culik gw donk bawa rumah luh gw nguntungin lo tar ngentot spuas nya truz sembelehin ndiri
#RRIBantenSiangIni; ; KPU Pangkalpinang Belum Tetapkan DPT Pilkada 2018,0,rribantensiangini kpu pangkalpinang tetapkan dpt pilkada
ya Allah jgn la main2 aku takut la gila',0,ya allah jgn la main takut la gila
Usir budha dari tanah jawa!!!!,1,usir budha tanah jawa
Yg mau lengserkan Jok pasti lawan politiknya spt SBY wowo HT TS PKS.biasa bayarin demo-demo..FPI.jgn takut pak Jok.Rakyat TNI POl bela JokAhok,1,yg lengserkan jok lawan politiknya spt sby wowo ht ts pks bayarin demo demo fpi jgn takut jok rakyat tni pol bela jokahok
USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER,0,
"USER ga kok, aku juga ga mendukung, secara agama haram dan secara sosial kurang baik. tapi kalo ada yg lgbt di sekitar aku, akunya juga ga ngejauh, apalagi kalo itu temen, cukup tau kalo bisa sih dirangkul biar pelan pelan bisa normal lagi'",0,ga ga mendukung agama haram sosial kalo yg lgbt akunya ga ngejauh kalo temen tau kalo sih dirangkul biar pelan pelan normal
"[askmf] sedih gaksi waktu orang2 ngeledekin doi tentang kita gitu, dia jawab ""najis, bocah.""? :""('",0,askmf sedih gaksi orang ngeledekin doi gitu najis bocah
"USER ~ Tokoh2 agama yang 'berpolitik praktis' dengan &amp; untuk identitas keagamaan untuk jabatan2 publik seperti Presiden hingga Lurah?. Itu seperti di lingkungan agama Budha, Ngaku biksu, Tetapi makan daging &amp; minum miras, Bahkan berkeluarga",1,tokoh agama berpolitik praktis amp identitas keagamaan jabatan publik presiden lurah lingkungan agama budha ngaku biksu makan daging amp minum miras berkeluarga
Agus silvy Tukang Fitnah DebatFinalPilkadaJKT,1,agus silvy tukang fitnah debatfinalpilkadajkt
"Bahaya Islam sudah TERBUKTI, lihat Teroris Islam, ISIS dll. USER di pandang dari sudut mana islam berbahay.",1,bahaya islam terbukti lihat teroris islam isis dll pandang sudut islam berbahay
Rambut aku tuh sebenernya warnanya apa sih kadang oren kadang coklat muda kadang coklat onta',0,rambut tuh sebenernya warnanya sih kadang oren kadang coklat muda kadang coklat onta
"Emyu mau kedatangan pemain asal Arab. Biar berkah kayaknya. Kan udah lambangnya setan, dukung LGBT lagi. Jadinya harus diseimbangkan.'",0,emyu kedatangan pemain arab biar berkah kayaknya udah lambangnya setan dukung lgbt diseimbangkan
USER Sumpaaah kaya kalo abis IAA dilanjut olim sama pagelaran budaya gak siii wkwkw,0,sumpaaah kaya kalo abis iaa dilanjut olim pagelaran budaya gak siii wkwkw
"Pada wkt agama kristen mulai menguat sekitar Timur Tengah, wkt Byzantium mengakui eksistensi agama ini, terbentuk ormas PARABALANI.; ; Anggota Parabalani umumnya pemuda2 dr kelompok rendah masyarakat tetapi fanatik kristen dan taat pada ulama mereka.",0,wkt agama kristen menguat timur wkt byzantium mengakui eksistensi agama terbentuk ormas parabalani anggota parabalani pemuda dr kelompok rendah masyarakat fanatik kristen taat ulama
Mngkn jg karna nama gw yg terkesan Kristen bgt(kata org2) tp ya kata bokap sih karna keren aja gt scr bokap jg bergaul dilingkungan tionghoa',0,mngkn jg karna nama gw yg terkesan kristen bgt org tp ya bokap sih karna keren aja gt scr bokap jg bergaul dilingkungan tionghoa
RT USER: Saracen digunakan Anies Sandi utk serang Ahok? Mosok sih? Iya apa iya banget? URL,1,saracen anies sandi utk serang ahok mosok sih iya iya banget
"Tantangan Industri Sawit, Budaya Bakar Lahan Rawan Penyimpangan",0,tantangan industri sawit budaya bakar lahan rawan penyimpangan
RT USER Ayoo jaga keutuhan NKRI!!! Tangkap Penista Agama!!! StopKriminalisasiUlama URL,1,ayoo jaga keutuhan nkri tangkap penista agama stopkriminalisasiulama
Nganjing2in seneng. Dianjingin marah. Tolol.',1,nganjing in seneng dianjingin marah tolol
USER USER Jangan sebarkan demi keamanan sejagat,0,sebarkan keamanan sejagat
USER USER anjir ga gitu jg bloon',1,anjir ga gitu jg bloon
"6. Presiden USER juga menginginkan laporan dari jajaran terkait mengenai detail lain seperti persiapan infrastruktur transportasi, lokasi pertandingan, hingga kesiapan atlet Indonesia yang akan berlaga di #AsianGames2018 #JokowiPacuPromosiAsianGames #Yu",0,presiden laporan jajaran terkait detail persiapan infrastruktur transportasi lokasi pertandingan kesiapan atlet indonesia berlaga asiangames jokowipacupromosiasiangames yu
GANYANG PKI! Perkumpulan Kripik Indo... URL,1,ganyang pki perkumpulan kripik indo
Orang ini akan nyunsep bersama jokowi 2019. URL,1,orang nyunsep jokowi
RT USER Akhirx berhasil dikotak kotakan dibuat saling benci. Jaman sby gk gini2 amat,1,akhirx berhasil dikotak kotakan benci jaman sby gk gini
"USER USER USER USER USER USER kristen katholik berbeda tradisi dgn kristen protestan mas,di katholik ga pakai musik2 band ato musik yg mnghentak2 tp kita sikapi prbedaan dg bijak,di kristen advent jg ada",0,kristen katholik berbeda tradisi dgn kristen protestan mas katholik ga pakai musik band ato musik yg mnghentak tp sikapi prbedaan dg bijak kristen advent jg
"#RRIBantenPagiIni; ; Diduga Masalah Ekonomi, Seorang Guru SD Nekat Gantung Diri",0,rribantenpagiini diduga ekonomi guru sd nekat gantung
RT USER Usir aja duta besarnya Negara yg Kristen aja udah putus hubungan diplomatik.,1,usir aja duta besarnya negara yg kristen aja udah putus hubungan diplomatik
"USER PBB Minta Dunia Kumpulkan Dana Kemanusiaan Rp 11,9 Triliun untuk Irak > Sia-sia sebelum Islam dibuang",1,pbb dunia kumpulkan dana kemanusiaan rp triliun irak sia sia islam dibuang
"A: pribadi yg bergairah, bersemangat, selalu berpikir optimis dan positif",0,a pribadi yg bergairah bersemangat berpikir optimis positif
"USER USER Pemilu sudah dekat, semua jadi halal, begitulah komunis bekerja'",0,pemilu halal komunis
Ini mah keren abiez ð???ð???.,0,mah keren abiez
"USER Yang namanya kapitalis emang kejam sih dalam konteks apapun, mending beli di warung2 kecil/toko2 lusinan bisa mensejahterakan rakyat juga. Pertanyaan gua selanjutnya, lu masih inget ga sama gua? Haha'",0,namanya kapitalis emang kejam sih konteks apapun mending beli warung toko lusinan mensejahterakan rakyat gua lu inget ga gua haha
"Ada orang orang terlahir dengan tubuh yang di sebut cacat oleh kehidupan ini,namun justru memiliki Jiwa yang mengagumkan ?Sebaliknya ,banyak org yg hidup sehat ,justru Jiwa di dalamnya sangat jauh dari kematangan dan kedewasaan'",0,orang orang terlahir tubuh cacat kehidupan memiliki jiwa mengagumkan org yg hidup sehat jiwa dalamnya kematangan kedewasaan
"Ada yang tak pakai tudung, tapi bagi nasihat tentang agama atau hal baik?; ; Dengarlah nasihat walau dari seorang pelacur, ambil yang baik dan buang yang buruk. Hitam tak semestinya kotor. Putih tak semestinya bersih.",0,pakai tudung nasihat agama dengarlah nasihat pelacur ambil buang buruk hitam semestinya kotor putih semestinya bersih
"Saya nggak alim-alim amat, tapi juga nggak bodoh-bodoh amat untuk melupakan bahwa dalam Islam, nikah itu juga soal meningkatkan kualitas ibadah dan membangun pranata bagi generasi penerus.; ; Lha kalau alasannya direduksi jadi ""ketimbang zina"", memangnya i",0,nggak alim alim nggak bodoh bodoh melupakan islam nikah meningkatkan kualitas ibadah membangun pranata generasi penerus lha alasannya direduksi ketimbang zina memangnya i
"Banyak banget yg blum disebutin,\n\nDan lucunya\n\nMASA SAYA DITUNTUT UNTUK SENANG!\n\n(Cm orang sinting yg brfikir bwgitu)'",0,banget yg blum disebutin n ndan lucunya n nmasa dituntut senang n n cm orang sinting yg brfikir bwgitu
Maenkan mang,0,maenkan mang
"RT USER: gue bikin video, isinya photo dan video ucapan selamat ultah untuk dia.\n\nYAK!! BOLEH MEMAKI SAYA SEKARANG YAA WAKTUNYA..\n\nok,\xe2\x80\xa6'",0,gue bikin video isinya photo video ucapan selamat ultah n nyak memaki yaa n nok xe x xa
USER China Negara Komunies Anti Islam .. Sgt Disesalkan Justru Rezim Berhutang Ma Negara Komunies,1,china negara komunies anti islam sgt disesalkan rezim berhutang ma negara komunies
"Ayo Muslim hantam terus LGBT, rakyat akan paham yg harus DIBUANG Islam USER Parmusi Dorong RUU Anti Paham LGBT",1,ayo muslim hantam lgbt rakyat paham yg dibuang islam parmusi dorong ruu anti paham lgbt
"USER Mana aku tahu, aku kan cebong..'",0,cebong
USER lebih baik pilih ahok drpd pilih yg se iman tp koruptor dn munafik !! Bodoh kau,1,pilih ahok drpd pilih yg iman tp koruptor dn munafik bodoh kau
Entah kenapa pesimisme yang justru ditonjolkan oleh rezim jokowi,1,pesimisme ditonjolkan rezim jokowi
Kenapa ya gue punya kakak laki mulutnya lemes banget kek banci yg lagi marah.\n\nMentolo tak guak cangkem e.',1,ya gue kakak laki mulutnya lemes banget kek banci yg marah n nmentolo guak cangkem e
"Bukannya di Negeri ini juga begitu om? Pekerja mah jongos cina doank, kerja dari subuh sampe malam, digaji pas-pasan, yg kaya cina.",1,negeri om pekerja mah jongos cina doank kerja subuh sampe malam digaji pas pasan yg kaya cina
"USER T- tapi, dia ini mencurigakan. Bahkan aku berpikir kalau dia bukan Antek antek papapresident, melainkan sebenarnya dia adalah Agent beras.'",0,t mencurigakan berpikir antek antek papapresident agent beras
USER USER cebong boros bacot hemat pake otak',1,cebong boros bacot hemat pake otak
"Siapa tahu, dengan semakin tingginya tingkat fitur pengamanan paspor Indonesia, Negara-Negara asing akan lebih berminat untuk memberikan fasilitas USER untuk para WNI, khususnya pemegang paspor biasa.'",0,tingginya tingkat fitur pengamanan paspor indonesia negara negara asing berminat fasilitas wni pemegang paspor
"Gampangan banget sih jadi orang, baru dipuji dikit aja udah kaya mau ngasih kehormatannya aja haha TOLOL'",1,gampangan banget sih orang dipuji dikit aja udah kaya ngasih kehormatannya aja haha tolol
"USER sa ingat monyet mana quote ni :')""",0,sa monyet quote ni
"RT USER: USER USER USER USER Politikus apa pelawak? Sorry, kayak karakter pelawak haji bolot. Kalo denger yg die\xe2\x80\xa6'",0,politikus pelawak sorry kayak karakter pelawak haji bolot kalo denger yg die xe x xa
Bila sesuai kepentingan jokowi didukung bila mengganggu kepentingan akan disikat,1,sesuai kepentingan jokowi didukung mengganggu kepentingan disikat
Hahahahahahah.....jadi ada yang malu2 mengakui kenerja Presiden ya. ð???ð???ð???ð???,0,hahahahahahah malu mengakui kenerja presiden ya
sing: Pacarku hilang diambil setan\napa wajahku kurang serem sayaang.. \n\xe3\x83\xbe(\xef\xbd\xa5\xcf\x89-\xef\xbd\xa1)~',0,sing pacarku hilang diambil setan napa wajahku serem sayaang n xe x xbe xef xbd xa xcf x xef xbd xa
41. Bila bijak USER akan memilih opsi mundur dan bila berambisi kekuasaan Jokowi akan pilih opsi bertahan,1,bijak memilih opsi mundur berambisi kekuasaan jokowi pilih opsi bertahan
Padahal pak jokowi dah pesan kerja kerja dan kerja . Eh ini malah demo sigoblok teh.,1,jokowi dah pesan kerja kerja kerja eh demo sigoblok teh
USER Pak USER tujuan hidup Muslim beribadat ke Allah SWT bertentangan dgn kepentingan bangsa & negara,1,tujuan hidup muslim beribadat allah swt bertentangan dgn kepentingan bangsa negara
Beritanya BOHONG MULU nih pak jokowi URL,1,beritanya bohong mulu nih jokowi
"Info : Warga Baduy setelah selesai memperingati tradisi Seba di Pendopo Pemkab Lebak akan dilanjutkan kembali bertemu dengan Gubernur Banten Wahidin Halim hari ini, Sabtu (21/4) #SebaBaduy2018 #alambanten",0,info warga baduy selesai memperingati tradisi seba pendopo pemkab lebak dilanjutkan bertemu gubernur banten wahidin halim sabtu sebabaduy alambanten
USER Sitip apa siapa',0,sitip
"USER USER USER USER Coba ente kroscek soal tka ke dede yusuf, sama tuh dia juga oposan kaya ente tapi dia realistis dengan data dan mata kepala sendiri, gak kaya ente cuma katanya ente telen dah tuh mentah2",1,coba ente kroscek tka dede yusuf tuh oposan kaya ente realistis data mata kepala gak kaya ente ente telen dah tuh mentah
Kesepakatan bersama 4 ; #DodiGiri4Sumsel; USER; USER USER; USER USER;,0,kesepakatan dodigiri sumsel
USER USER Iya jg sih.. Yg bilang banyak aseng &amp; ga jg anggota dpr.. Trus bgmn donk..',0,iya jg sih yg bilang aseng amp ga jg anggota dpr trus bgmn donk
Bahagianya USER Selfie dengan USER di Pesawat Presiden #JokowiCakImin,0,bahagianya selfie pesawat presiden jokowicakimin
USER Apakah henponku cacat:(',0,henponku cacat
Aduh badan gendut gak PD..Jangan khawatir JUS HERBAL CMP dapat menurunkan BB 2-5 kg /minggunya nyata hasilnya plus mengobati berbagai penyakit kepoin y.minat chat me:hp: 082316861194/ pin :D2907677',0,aduh badan gendut gak pd khawatir jus herbal cmp menurunkan bb kg minggunya nyata hasilnya plus mengobati penyakit kepoin y minat chat me hp pin d
RT USER: kontol si abang mengucapkan selamat pagi URL,0,kontol si abang selamat pagi
"RT USER: Pngen bngt dudukin kontol kayak gini nusuk2 perut, siapa yg mo jd kudanya didudukin? #bokepgratis #memek #ngentot http\xe2\x80\xa6'",0,pngen bngt dudukin kontol kayak gini nusuk perut yg mo jd kudanya didudukin bokepgratis memek ngentot
"TIADA PANGKAT YG PALING MULIA DI DUNIA INI SELAIN PANGKAT SEORANG IBU !!!; Sehebat apapun manusia pasti terlahir dari seorang IBU; ; KEAHLIAN CEBONG HANYA 1, TUKANG TIPU !!!; Plonga plongo mengakibatkan optimisme berlebihan; ; #2019GantiPresiden #PlongaPlo",1,tiada pangkat yg mulia dunia pangkat sehebat apapun manusia terlahir keahlian cebong tukang tipu plonga plongo mengakibatkan optimisme gantipresiden plongaplo
Mampir di tulisan terbaru saya ya. :) #BeraniTraveling ; ;,0,mampir tulisan terbaru ya beranitraveling
"paling gemes sih sama yang dudukin bangku prioritas tapi lansia bukan, hamil atau bawa anak ngga, cacat apalagi.'",0,gemes sih dudukin bangku prioritas lansia hamil bawa anak ngga cacat
"Saya pernah baca, bila anda berhenti melakukan (\xe2\x9c\x8a\xf0\x9f\x92\xa6) atau (\xf0\x9f\x96\x95\xf0\x9f\x92\xa7) selama min 3 bulan, anda akan merasakan setiap hari seperti memakai acid dosis rendah. Saya pengen coba tapi terlalu cupu buat berhasil.\n\nBarangkali ada yang mau coba terus beneran, saya bakal berusaha lebih keras'",0,baca berhenti xe x c x a xf x f x xa xf x f x x xf x f x xa min merasakan memakai acid dosis rendah pengen coba cupu berhasil n nbarangkali coba beneran berusaha keras
LESBI GUA UDAH AJA ANJIR',0,lesbi gua udah aja anjir
#BeritaIslam: Rabbi Israel Sebut Orang Berkulit Hitam Sebagai \xe2\x80\x9cMonyet\xe2\x80\x9d Picu Kecaman Keras URL,0,beritaislam rabbi israel orang berkulit hitam xe x x cmonyet xe x x d picu kecaman keras
"USER Mengadu ke Allah agar para pemimpin yang bejat,bangsat,bajingan segera bertaubat kepada Allah dan kembali ke jalan Allah.'",0,mengadu allah pemimpin bejat bangsat bajingan bertaubat allah jalan allah
"Perhatikan: \n\nKampus mana yg pertama kali aksi demo melawan dan menuntut Suharto mundur? Kampus mana yg gencar terus menerus selama lebih 1 bulan aksi demo tanpa henti?\n\nTrisakti, Atmajaya, Untar, Unkris, UKI\n\nKampus2 yg terafiliasi dg CSIS, Elit K",0,perhatikan n nkampus yg kali aksi demo melawan menuntut suharto mundur kampus yg gencar menerus aksi demo henti n ntrisakti atmajaya untar unkris uki n nkampus yg terafiliasi dg csis elit k
"Begitulah Pak jika seseorang sudah mengidap paranoid kayak bapak ini, semua ditangkap",1,mengidap paranoid kayak ditangkap
USER USER USER Membawa nama Islam tp mnggunakan cara PKI.\nPartai Komunis Syariah',1,membawa nama islam tp mnggunakan pki npartai komunis syariah
USER USER Dasar culun dan plongo...',1,dasar culun plongo
"USER Ini sudah termasuk teror , bukan aparat inimah tapi keparat politik.! Bahasanya Mafia politik, hati-hati bos kami tidak takut ancaman / intimidasi Demokrasi. #polri USER \n\nCat. \nUSER'",1,teror aparat inimah keparat politik bahasanya mafia politik hati hati bos takut ancaman intimidasi demokrasi polri n ncat nuser
Gpp lah drpd si tabib cabul.. Teriak2 gak karuan sambi ngocok tongkol minta gbr bugil pecun... Hoaalaaaah gak ngebayang ana.. Dasar binatang \xf0\x9f\x98\x84\xf0\x9f\x98\x84 URL,1,gpp drpd si tabib cabul teriak gak karuan sambi ngocok tongkol gbr bugil pecun hoaalaaaah gak ngebayang ana dasar binatang xf x f x x xf x f x x
Pak USER harusnya jadi Ulama yang Pewaris Nabi. Menegakkan kebenaran karena data dan keilmuan. Bukan semata Tsiqoh krn yg pertama AL FAHMU. Pak USER bisa belajar dari USER perihal USER,0,ulama pewaris nabi menegakkan kebenaran data keilmuan tsiqoh krn yg al fahmu belajar perihal
Mari kita pecat ahok dari gubernur Jakarta krn hny bikin rusuh dan konflik di negeri ini jangan mau dibohongi ahok,1,mari pecat ahok gubernur jakarta krn hny bikin rusuh konflik negeri dibohongi ahok
"Ingat-ingat Jokower RT""USER: USER Nah disini tim sukses Ahok agak terlena mereka lebih mengedepankan hasil kinerja (rasio) ketimbang 2 aspek lain.""",1,jokower tim sukses ahok terlena mengedepankan hasil kinerja rasio ketimbang aspek
USER bentar bentar kunyuk mirip siapa yak *mikir keras*',1,bentar bentar kunyuk yak mikir keras
"USER Presiden yg mempermalukan bangsanya sendiri, plonga plongo tolah toleh macam boneka idiot",1,presiden yg mempermalukan bangsanya plonga plongo tolah toleh boneka idiot
"Keputusan ERKA hari ini harus kita HORMATI, begitupun sebaliknya KAMI tidak akan memilih partai pendukung PENISTA AGAMA.",1,keputusan erka hormati memilih partai pendukung penista agama
"Jokowi mengatakan, sebuah negara akan kuat bila umaroh (pemerintah) dan ulama berjalan beriringan dan selalu bersilaturahmi.",0,jokowi negara kuat umaroh pemerintah ulama berjalan beriringan bersilaturahmi
"Tolol dan goblok sih pemain teriak gituh,ga mikir dampak nya fans masing2 jadi makin panas dan pemain nya sendiri yang rugi saat away takut nya terjadi apa2...harus cepat2 di atasi sebelum panas pisan'",1,tolol goblok sih pemain teriak gituh ga mikir dampak nya fans panas pemain nya rugi away takut nya cepat atasi panas pisan
"USER USER USER Apakah Rasulullah orang kaya, \nRasulullah menggadaikan baju besinya ke orang yahudi, apa karena Rasulullah banyak harta..???\nMikir dong, \nnah apa lagi ngutang dgn bunga/riba, apa Rasulullah suka...???'",0,rasulullah orang kaya nrasulullah menggadaikan baju besinya orang yahudi rasulullah harta nmikir nnah ngutang dgn bunga riba rasulullah suka
RT USER: Setya Novanto sampe level tertentu akan pendendam. Tp ga akan bikin lawannya babak belur sampe mati.,1,setya novanto sampe level pendendam tp ga bikin lawannya babak belur sampe mati
RT USER USER Pasti ada hubungannya sama partai komunis dari Cina ini rezim antek antek aseng!,1,hubungannya partai komunis cina rezim antek antek aseng
"Apa KASN BERANI LAWAN?KL.IYA\nRAKYAT SALUT..!JGN HNY KY OMBUSMAN..KOAR2 TRS.DIEM.MANA HASILNYA?MALAH NGURUSI TKA DISULUT!APAAN TUH..TANAH ABANG DITUTUP.USER BUNGKAM.PD TAKUT ORMAS ATAU TAKUT G DPT/DISETUJUI BAGIAN APBD?KL NIAT UD\nUSUT ,PASTI B",1,kasn berani lawan kl iya nrakyat salut jgn hny ky ombusman koar trs diem hasilnya ngurusi tka disulut tuh tanah abang ditutup bungkam pd takut ormas takut g dpt disetujui apbd kl niat ud nusut b
Seblak = pusing/mencret',0,seblak pusing mencret
"USER ada temen w lesbi tapi gak sampe troma jugaaih, xari temen baru aja, gak semua cewek yg tampangnya agak laki itu lesbi kok -_-'",0,temen w lesbi gak sampe troma jugaaih xari temen aja gak cewek yg tampangnya laki lesbi
USER USER ya emang NU musuh yg ditakuti PKI \ncoba lu baca buku\xc2\xb2 sejarah banyak dijual\n\nBK membuat nasakom itu Krn kemauan BK untuk mengakomodir 3 partai besar pada masa itu \n\nNU 'ikut' agar pemerintah tdk 100% dikuasai PKI \n\nbl,0,ya emang nu musuh yg ditakuti pki ncoba lu baca buku xc xb sejarah dijual n nbk nasakom krn kemauan bk mengakomodir partai n nnu pemerintah tdk dikuasai pki n nbl
"USER USER USER HAHAHAHA...\nAnak monyet mana ngerto wong DONGO...\nBaca dt belakang ""efilnikcufecin""..\nKeturunan monyet memang DONGO...\xf0\x9f\x98\x83\xf0\x9f\x98\x86'",1,hahahaha nanak monyet ngerto dongo nbaca dt efilnikcufecin nketurunan monyet dongo xf x f x x xf x f x x
USER anjir kebayang:(',0,anjir kebayang
"Alhamdulillah Pak USER dekat lagi dengan ulama. Sering silaturahmi ke pesantten. Tiga tahun silam Pak JKW jarang ke pesantren. Bahkan ke ulama yang berseberangan, gak mau bertemu. Ada apa ya",0,alhamdulillah ulama silaturahmi pesantten silam jkw jarang pesantren ulama berseberangan gak bertemu ya
Persebaya kemarin gak menang. \nInggris kalah. \nTimnas kalah.\nKalahe karo malaysia sisan. \nAh taek mencret kabeh!',1,persebaya kemarin gak menang ninggris kalah ntimnas kalah nkalahe karo malaysia sisan taek mencret kabeh
Sekolah agama bukan pengukur iman seseorang.,0,sekolah agama pengukur iman
USER Beli album dll adalah sebuah saksi bisu kehidupan ku.',0,beli album dll saksi bisu kehidupan ku
"USER paham komunis dimata liberal adalah radikal, begitupun sebaliknya, trus knp masjid yg disasar??'",0,paham komunis dimata liberal radikal trus knp masjid yg disasar
USER USER USER Sbb pro yahudi',0,sbb pro yahudi
USER Ke goblog an yang hqq ketika pacaran bertahun2 tapi gatau ketemu..fake ppl is everywhere.. mesakno se tapi kok heran aku wkwkwk',0,goblog an hqq pacaran bertahun gatau ketemu fake ppl is everywhere mesakno heran wkwkwk
Bagi Allah SWT dungu & biadab tak ada kata cukup sebelum semua kafir dihilangkan dari muka bumi & sisa hanya Mukmin,1,allah swt dungu biadab kafir dihilangkan muka bumi sisa mukmin
"USER USER Tdk aneh juga krn konsultan asing selalu dipakai untuk memuluskan korupsi oleh pejabat pemerintah/BUMN, hal yg sama juga terjadi dlm perpanjangan konsesi USER melibatkan Deutchbank, Rostchild dan konsultan asing lainnya yg m",0,tdk aneh krn konsultan asing dipakai memuluskan korupsi pejabat pemerintah bumn yg dlm perpanjangan konsesi melibatkan deutchbank rostchild konsultan asing yg m
USER USER Bodat KOMUNIS TOLOL',1,bodat komunis tolol
